"Timestamp","What is your program?","What is your gender?","What is your AGE as of your last birthday?","What is your HEIGHT (to the nearest centimetre)?","What is your WEIGHT (to the nearest kilogram)?","What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?","What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?","After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?","Do you LIVE WITH YOUR PARENTS? ","What are your MONTHLY EXPENSES for FOOD and LODGING?","What MODE of TRANSPORT do you use most often to get to and from BCIT?","What is your COST per MONTH for TRANSPORTATION to and from BCIT?","What is your COST per MONTH for ENTERTAINMENT?","Are you right-handed, Left-handed or ambidextrous?","What is your COST per MONTH for your CELL PHONE?","Do you SMOKE cigarettes? ","What is your foot size in INCHES?","How many alcoholic drinks do you have per week?","Do you have a tattoo?","On average, how many hours per night do you sleep?","How much time in hours do you spend each week on social netorking sites?","How many hours per week do you spend studying/doing homework?","How many hours a week are you working (part-time or full-time employment) outside of BCIT?","Have you traveled outside of North America?","Do you pay entirely for your own tuition?","How many cups of coffee do you drink on average each day?"
"2021/09/07 7:48:18 pm GMT-7","BABI","Male","22","178","75","5500","7000","1. Large Corporation","No","2000","2. Public Transport","0","400","0. Right-handed","67","No","10","1","No","7.5","8","3","40","No","Yes","2"
"2021/09/08 1:06:36 pm GMT-7","BABI","Female","48","155","48","","","2. Small Company","No","","3. Drive","100","100","0. Right-handed","75","No","9.4","3","No","7","0","Not sure yet!","30-37.5","Yes","Yes","1"
"2021/09/08 8:55:52 pm GMT-7","BABI","Male","26","181","96","4800","5500","3. Non-profit or Government Agency","Yes","200","3. Drive","200","50","1. Left-handed","55","No","11","5","Yes","7","9","5","37.5","Yes","Yes","1.5"
"2021/09/09 3:31:49 pm GMT-7","BABI","Female","34","150","64","0","$3000","2. Small Company","No","$2500","2. Public Transport","$175","$60","0. Right-handed","$50","No","5 and 1/2","0","No","8 hours","10 minutes","3 hours","0","Yes","No","1"
"2021/09/09 6:30:34 pm GMT-7","BABI","Male","24","172","165","4300","6000","1. Large Corporation","Yes","1400","3. Drive","50","20","0. Right-handed","30","No","10","1","No","6","8","6","45","Yes","Yes","1"
"2021/09/09 6:36:23 pm GMT-7","BABI","Male","28","175","148","0","8000","3. Non-profit or Government Agency","Yes","None","2. Public Transport","0","0","0. Right-handed","100","No","unknown","0","No","7","10","12","0","Yes","No","2"
"2021/09/09 7:55:05 pm GMT-7","BABI","Male","27","181","80","5000","7000","2. Small Company","No","2500","2. Public Transport","35","25","0. Right-handed","110","No","11","3","No","9","10","5","37","Yes","Yes","0"
"2021/09/11 12:23:18 pm GMT-7","BABI","Male","28","168","67","0","6666","1. Large Corporation","No","2500","3. Drive","100","10","2. Ambidextrous","60","No","9.5","2","No","6","6","4","45","Yes","Yes","2"
"2021/09/11 7:33:08 pm GMT-7","BABI","Female","34","152","47","$4,600","$5,400","3. Non-profit or Government Agency","Yes","$400","2. Public Transport","$20","$20","0. Right-handed","$50","No","8.75","0","No","6","0.5","25","40","Yes","Yes","1"
"2021/09/13 2:42:47 pm GMT-7","BABI","Female","29","163","50","3500","4000","1. Large Corporation","No","2000","3. Drive","70","400","0. Right-handed","35","No","8.75","none","No","8","5","8","40","Yes","Yes","1"
"2021/09/14 6:52:17 am GMT-7","BABI","Female","27","170","65","4300","5300","2. Small Company","No","1200","2. Public Transport","20","200","0. Right-handed","60","No","10","2","Yes","7","7","3","40","Yes","No","2"
"2021/09/14 10:06:57 am GMT-7","BABI","Female","36","167","57","$7000","$10000","1. Large Corporation","No","3000","3. Drive","$100","$200","0. Right-handed","$90","No","9","3","No","7.5","15","10","40","Yes","Yes","1"
"2021/09/14 4:54:38 pm GMT-7","BABI","Female","32","180","54","3400","4000","3. Non-profit or Government Agency","No","Too much","3. Drive","60","40","0. Right-handed","75","Yes","6","5","Yes","7","1","8","35","Yes","No","1"
"2021/09/14 9:15:48 pm GMT-7","BABI","Female","23","165","50","1000","5000","4. Other","No","500","1. Walk","20","50","0. Right-handed","50","No","5","1","No","9","20","5","40","Yes","No","1"
"2021/09/16 1:54:34 am GMT-7","BABI","Male","25","173","66","4600","6600","1. Large Corporation","No","1300","3. Drive","70","150","0. Right-handed","45","No","8.5","0","No","8","3","20","40","Yes","Yes","1"
"2021/09/16 4:31:13 pm GMT-7","BABI","Male","22","182","75","9,800","9,800","2. Small Company","No","$4000","3. Drive","$200","$500","0. Right-handed","$102","No","10.3","3","No","7","20","4","54","Yes","Yes","3"
"2021/09/16 5:36:50 pm GMT-7","BABI","Male","31","195.58","113.4","5000","6500","1. Large Corporation","No","2500","2. Public Transport","22","100","0. Right-handed","90","No","14","3","No","7","21","14","40","Yes","Yes","1"
"2021/09/16 7:55:58 pm GMT-7","BABI","Female","30","163","61","2800","5000","1. Large Corporation","No","1000","2. Public Transport","30","200","0. Right-handed","51","No","9.5","0","Yes","7","8","15","40","Yes","Yes","1"
"2022/01/07 1:55:59 pm GMT-8","BITMAN","Male","23","180.40","86.18","$3,800","$4,000","2. Small Company","Yes","$200","3. Drive","$250","$200","0. Right-handed","$50","No","132","2","No","8","2","2","Part-time","No","No","0"
"2022/01/09 10:12:56 pm GMT-8","ITMG","Prefer not to say","36","","","4500","5800","3. Non-profit or Government Agency","No","3000","5. Other","50","","0. Right-handed","55","No","","7","No","8","15","14","5","Yes","Yes","2"
"2022/01/17 9:14:32 pm GMT-8","ITMG","Male","21","188","100","$2200","$4000","1. Large Corporation","Yes","$800","3. Drive","$150","$200","0. Right-handed","$80","No","11","2","Yes","8","6","20","20","Yes","No","0"
"2022/08/31 10:58:48 pm GMT-7","BABI","Female","25","166","65","2400","4000","1. Large Corporation","No","2000","2. Public Transport","30","100","0. Right-handed","75","No","9","0","No","7","7","7","37.5","Yes","Yes","1"
"2022/09/06 1:06:05 pm GMT-7","BABI","Male","26","220","75","3300","5000","1. Large Corporation","No","800","3. Drive","100","100","0. Right-handed","45","No","8","0","No","7 hours","30 hours","28","16","Yes","No","1"
"2022/09/07 1:31:18 pm GMT-7","BABI","Male","43","175","78","N/A","N/A","4. Other","No","$2000","3. Drive","$100","$400","0. Right-handed","$63","No","9.5","3","No","8","2","4 for reading","45","Yes","Yes","None"
"2022/09/07 6:13:32 pm GMT-7","BABI","Male","28","180","180","4000","5000","1. Large Corporation","Yes","800","2. Public Transport","50","60","0. Right-handed","90","No","10","0","No","6","0.5","6","40","Yes","Yes","0"
"2022/09/08 12:41:04 pm GMT-7","BABI","Male","47","178","75","$5000","$7000","3. Non-profit or Government Agency","No","$4000","3. Drive","$100","$200","0. Right-handed","$45","No","10","2","No","6","1","10","40","Yes","Yes","2"
"2022/09/08 1:57:13 pm GMT-7","BABI","Male","30","170","64","$3000.00","$4000.00","2. Small Company","No","$1000","2. Public Transport","$50","$500","0. Right-handed","$50","No","9","0","No","5","35","35","37.5","Yes","Yes","0"
"2022/09/08 7:33:55 pm GMT-7","BABI","Female","29","170","58","3,400","4,000","1. Large Corporation","No","3,000","2. Public Transport","50","100","0. Right-handed","100","No","10","8","Yes","7","8","20","10","Yes","No","2"
"2022/09/08 10:53:12 pm GMT-7","BABI","Female","30","157","68","1400","3000","1. Large Corporation","No","$400","2. Public Transport","$16","$20","0. Right-handed","$64","No","9.6","2","No","8","2","1","0","Yes","No","2"
"2022/09/09 9:39:32 am GMT-7","BABI","Female","37","172.72","56.36","4000","5000","1. Large Corporation","No","4000","2. Public Transport","50","20","0. Right-handed","55","No","9.25","3","No","6","3","3","40","Yes","Yes","1"
"2022/09/09 11:05:11 am GMT-7","BABI","Female","33","147 cm","43","$5779 or $4320 (net taxes)","$8000","1. Large Corporation","No","$2000","2. Public Transport","Free U pass","$300","1. Left-handed","$55","No","9","2","Yes","7","10+","5+","40+","Yes","No","1"
"2022/09/09 4:19:38 pm GMT-7","BABI","Female","38","157","44","6000","7000","3. Non-profit or Government Agency","No","2500","2. Public Transport","100","200","0. Right-handed","65","No","","0","No","6","7","10","40","Yes","Yes","2"
"2022/09/10 4:58:17 pm GMT-7","BABI","Male","25","175","77","5833","8600","2. Small Company","No","2700","2. Public Transport","15","200","0. Right-handed","47","No","10.5","2","Yes","7","7","10","50","Yes","Yes","1"
"2022/09/10 11:59:29 pm GMT-7","BABI","Female","26","162","68","1200","3750","2. Small Company","Yes","0","3. Drive","50","30","0. Right-handed","82","No","9.5","0","No","6","49","30","20","Yes","No","0"
"2022/09/11 6:29:33 pm GMT-7","BABI","Male","25","164","47","0","5500","2. Small Company","Yes","150","2. Public Transport","50","100","0. Right-handed","35","No","9.4","0","No","7","10","5","28","Yes","No","0"
"2022/09/11 7:56:29 pm GMT-7","BABI","Female","26","163","68c","4300","5000","3. Non-profit or Government Agency","No","2400","2. Public Transport","30","150","1. Left-handed","62","No","9","1","Yes","7","4","10","45","Yes","No","0"
"2022/09/11 9:01:55 pm GMT-7","BABI","Male","32","168","74","4000","6500","1. Large Corporation","No","","2. Public Transport","40","350","0. Right-handed","40","No","9.5 inches","0","No","8","2","2","40","Yes","Yes","0"
"2022/09/12 9:17:49 am GMT-7","BABI","Male","63","170","70","2500","5000","1. Large Corporation","No","3500","2. Public Transport","100","100","0. Right-handed","10","Yes","10","0","No","5","0","10","40","Yes","Yes","1"
"2022/09/12 7:45:58 pm GMT-7","BABI","Male","27","180","87","4000","5000","1. Large Corporation","No","650","2. Public Transport","50","50","0. Right-handed","86","No","11","0","No","8","10","20","40","Yes","Yes","2"
"2022/09/13 7:23:09 pm GMT-7","BABI","Female","29","157","75","4410","5940","1. Large Corporation","No","2355","2. Public Transport","whatever is charged for Upass in tuition","500","0. Right-handed","50","No","8.5 shoe size","0","No","7","1","16 - 20 (I think)","35","Yes","No","1"
"2022/09/14 8:42:12 pm GMT-7","BABI","Female","26","161","55","3100","67000","1. Large Corporation","No","1200","2. Public Transport","","50","0. Right-handed","65","No","9","1","No","Too much","Too much","4-6","0","Yes","Yes","2"
"2022/09/14 9:11:02 pm GMT-7","BABI","Male","23","174","59","0","70000","1. Large Corporation","Yes","500","2. Public Transport","0","20","0. Right-handed","55","No","9.88","0","No","5","9","15","25","Yes","Yes","1"
"2022/09/15 5:21:39 pm GMT-7","BABI","Male","30","","68","3500","6000","4. Other","No","1700","3. Drive","20","120","0. Right-handed","45","No","10","0","No","6","30","5","40","Yes","Yes","0"
"2023/01/16 11:00:45 am GMT-8","ITMG","Male","25","170","81","1200","6000","1. Large Corporation","No","2000","3. Drive","400","500","0. Right-handed","15","Yes","10","1","No","5","15","7","26","Yes","Yes","1"
"2023/01/16 9:57:12 pm GMT-8","ITMG","Male","28","178","82","2,880","4000","2. Small Company","No","1000","2. Public Transport","40","100","0. Right-handed","36","No","10","0","No","7","4","5","20","Yes","Yes","0"
"2023/01/23 10:30:38 pm GMT-8","ITMG","Male","26","181","83","2600","4000","1. Large Corporation","No","1500","1. Walk","0","500","0. Right-handed","55","Yes","","10","No","6.5","7","16","20","Yes","Yes","1"
"2023/03/08 8:36:17 pm GMT-8","ITMG","Female","28","158","49","$3000","6500","1. Large Corporation","No","3700","2. Public Transport","0","700","2. Ambidextrous","45","No","91","15","No","9","1","20","15","Yes","No","2"
"2023/09/07 12:59:17 pm GMT-7","BABI","Male","34","185","81","5000","6000","1. Large Corporation","No","1200","3. Drive","50","200","0. Right-handed","60","No","11","2","No","6","5","10","0","Yes","Yes","2"
"2023/09/08 3:09:23 pm GMT-7","BABI","Female","26","163","58","6000","8000","1. Large Corporation","No","3000","2. Public Transport","30","500","0. Right-handed","50","No","9","0","No","7","3","12","40","Yes","Yes","1"
"2023/09/08 5:44:58 pm GMT-7","BABI","Female","26","168cm","52kg","$2000","$4000","1. Large Corporation","No","$2000","2. Public Transport","$50","$200","0. Right-handed","$47","No","9","none","No","8hr","5.5hr","10hr","none","Yes","Yes","less than 1 cup"
"2023/09/09 6:22:47 pm GMT-7","BABI","Female","27","154","60","4000","6000","1. Large Corporation","Yes","300","2. Public Transport","50","100","0. Right-handed","50","No","9","0","No","6","15","10","40","Yes","Yes","0"
"2023/09/10 3:03:39 pm GMT-7","BABI","Male","32","176","230","","6200","1. Large Corporation","No","1600","3. Drive","150","250","0. Right-handed","63","No","10.83","5","Yes","7","8","5","37","Yes","Yes","2"
"2023/09/11 9:58:25 pm GMT-7","BABI","Female","24","153","52","4000","5000","2. Small Company","Yes","1600","2. Public Transport","80","50","0. Right-handed","50","No","9","","No","7","10","10","50","Yes","Yes","1"
"2023/09/14 2:12:27 pm GMT-7","BABI","Female","35","165","53","6500","11000","1. Large Corporation","No","3000","2. Public Transport","100","300","1. Left-handed","80","No","9.5","1","No","7","10","15","40","Yes","Yes","2"
"2023/09/14 3:01:49 pm GMT-7","BABI","Male","36","179","70","6000","6500","3. Non-profit or Government Agency","No","3000","5. Other","50","","0. Right-handed","50","No","12","0","No","8","1","10","20","Yes","Yes","0"
"2023/09/14 8:05:03 pm GMT-7","BABI","Male","23","175","63","4500","5000+","1. Large Corporation","Yes","2500","3. Drive","200","300","0. Right-handed","50","No","10 inches","0","No","8","10","12","0","Yes","No","0"
"2023/09/17 10:11:22 am GMT-7","BABI","Male","26","180","94","0","4500","2. Small Company","No","300","2. Public Transport","20","20","0. Right-handed","40","Yes","9.5","1","Yes","8","35","7","12","No","Yes","2"
"2023/09/17 2:18:42 pm GMT-7","BABI","Female","36","165","65","1000","80000","1. Large Corporation","No","1400","2. Public Transport","0","0","1. Left-handed","50","No","9.8","0","No","8","2","4","0","Yes","Yes","2"
"2023/09/21 5:22:08 pm GMT-7","BABI","Male","34","174","75","10,200","8000","2. Small Company","No","6000","2. Public Transport","40","500","0. Right-handed","100","No","9.68","1","No","6","2","18","10","Yes","Yes","1"
"2023/10/16 11:51:36 pm GMT-7","BABI","Male","28","180","91","4500","7000","1. Large Corporation","No","2000","2. Public Transport","100","200","0. Right-handed","70","No","11.61","1","No","8","30","15","40","No","Yes","0"
"2024/01/09 4:52:33 pm GMT-8","ITMG","Shakespearian Cat  ","15","167","60","0","5000","1. Large Corporation","Yes","800","1. Walk","0","100","2. Ambidextrous","100","No","7","2","Yes","9","5","2.5","2","No","No","5"
"2024/01/11 8:48:31 pm GMT-8","BMGT","Male","27","175","70","4500","5000","2. Small Company","Yes","2500","3. Drive","300","100","0. Right-handed","66","No","9'11","0","No","6","10","7","0","Yes","Yes","1"
"2024/01/13 12:10:41 pm GMT-8","ITMG","Female","27","153","48","2000","4000","3. Non-profit or Government Agency","No","1300","2. Public Transport","0","150","0. Right-handed","60","No","9","0","No","7","20","40","20","Yes","No","1"
"2024/01/13 7:51:40 pm GMT-8","ITMG","Male","","","","","","","","","","","","","25","No","10","0","No","5","2","50","0","Yes","Yes","0"
"2024/09/07 2:41:11 pm GMT-7","BABI","Male","23","185","81","3500","5500","1. Large Corporation","Yes","800","2. Public Transport","46","200","0. Right-handed","45","No","10.5","0","No","9","15","20","20","Yes","Yes","1"
"2024/09/07 3:32:24 pm GMT-7","BABI","Male","35","1.77","68","3000","6000","3. Non-profit or Government Agency","No","1600","1. Walk","0","110","0. Right-handed","70","No","15","2","No","7","10","10","0","Yes","Yes","0"
"2024/09/07 3:58:21 pm GMT-7","BABI","Male","28","171","72","3600","4000","3. Non-profit or Government Agency","Yes","800","2. Public Transport","270","100","0. Right-handed","40","No","10.4","1","Yes","6.5","5 ","12","37.5","Yes","Yes","0"
"2024/09/07 8:59:29 pm GMT-7","BABI","Female","35","167","77","0","5000","3. Non-profit or Government Agency","No","5000","2. Public Transport","","80","0. Right-handed","130","No","9","0","No","6","4","14","0","Yes","No","0"
"2024/09/08 3:03:26 pm GMT-7","BABI","Male","24","174","65","$5,500","$6,300","1. Large Corporation","No","$2500","2. Public Transport","$50","$200","0. Right-handed","$78","No","10","1","No","7","20","10","40","Yes","Yes","1"
"2024/09/08 3:35:34 pm GMT-7","BABI","Male","54","165","88","68000","$8000","3. Non-profit or Government Agency","Yes","$2000","3. Drive","$20","$250","0. Right-handed","$90","No","10","0","No","6","1","5","40","Yes","No","2"
"2024/09/08 7:43:49 pm GMT-7","BABI","Female","25","168","68","5000","5500","2. Small Company","Yes","2000","3. Drive","120","70","0. Right-handed","65","No","9","0","No","7.5","7","6","37","Yes","No","2"
"2024/09/09 3:20:17 pm GMT-7","BABI","Male","35","178","82","5700","6500","3. Non-profit or Government Agency","No","2000","2. Public Transport","100","500","0. Right-handed","100","No","10.6","2","No","7","1.5","20","25","Yes","No","1"
"2024/09/09 10:28:51 pm GMT-7","BABI","Male","33","178","80","5600","7000","1. Large Corporation","Yes","1500","2. Public Transport","40","100","0. Right-handed","45","No","10","1","No","6","20","7","40","Yes","Yes","0"
"2024/09/10 8:09:11 am GMT-7","BABI","Female","46","168","55","7200","6000","1. Large Corporation","No","1500","5. Other","80","300","1. Left-handed","63","No","9.5","3","No","8","1","6","18","Yes","Yes","3"
"2024/09/11 4:21:54 pm GMT-7","BABI","Female","28","165","47","4200","6000","1. Large Corporation","No","","2. Public Transport","","90","0. Right-handed","40","No","10","0","Yes","6","20","20","0","Yes","Yes","0"
"2024/09/11 6:51:37 pm GMT-7","BABI","Male","25","178","80","4000","5000","1. Large Corporation","No","2500","2. Public Transport","60","50","0. Right-handed","42","No","","0","No","7","12","20","0","Yes","No","1"
"2024/09/14 5:20:17 pm GMT-7","BABI","Male","23","182","79","0","2500","3. Non-profit or Government Agency","Yes","1000","3. Drive","50","100","0. Right-handed","45","No","10.24","0","No","7.5","3","12","0","Yes","No","1"
"2024/09/15 8:11:26 am GMT-7","BABI","Female","27","180","68","0","120000","3. Non-profit or Government Agency","No","1200","2. Public Transport","8","9","0. Right-handed","1","No","5","0","No","7","3","9","0","Yes","Yes","1"
"2025/01/07 1:06:40 pm GMT-8","","Female","21","168","","0","5000","3. Non-profit or Government Agency","No","1000","2. Public Transport","0","50","0. Right-handed","45","No","10 inches","0","No","6","12","20","24","Yes","No","1"
"2025/01/07 1:43:48 pm GMT-8","ITMG","Male","25","180","80","3500","5000","1. Large Corporation","No","1500","1. Walk","0","10","0. Right-handed","50","No","10","0","No","6","1","10","1","Yes","Yes","1.5"
"2025/01/07 1:44:24 pm GMT-8","ITMG","Male","33","170","72","3000","10k","1. Large Corporation","No","5000","3. Drive","150","100","0. Right-handed","40","No","","1 bottle of whiskey ","No","6","7","20","6","Yes","Yes","3"
"2025/01/07 1:50:36 pm GMT-8","ITMG","Female","41","157.48","69","6,200","6,500","3. Non-profit or Government Agency","No","3,630","2. Public Transport","250","250","0. Right-handed","68","No","9.5","0","No","6","15","35","20","Yes","Yes","2"
"2025/01/07 2:18:24 pm GMT-8","ITMG","Male","28","175","73","52,000","55,000","1. Large Corporation","No","300","3. Drive","55","100","1. Left-handed","55","No","10.5","1","Yes","6","7","8","12","Yes","Yes","1"
"2025/01/07 2:38:37 pm GMT-8","ITMG","Male","22","171","67","10000","6000","4. Other","No","1500","2. Public Transport","0","150","0. Right-handed","40","No","26","0","No","6-7","5","10","0","Yes","Yes","1"
"2025/01/09 11:12:12 am GMT-8","BMGT","Female","27","168","68","1400","4000","1. Large Corporation","No","1200","2. Public Transport","150","10","0. Right-handed","30","No","9.5","1","No","5","2","10","15","Yes","No","1"
"2025/01/09 5:36:09 pm GMT-8","BABI","Male","28","180 cm","78 kg","0","4000","1. Large Corporation","No","1200","2. Public Transport","50","200","0. Right-handed","60","No","","2","No","7","10","10","20","Yes","No","1"
"2025/01/09 5:36:20 pm GMT-8","BABI","Female","28","158","66","0","$80K","3. Non-profit or Government Agency","No","","2. Public Transport","08","40","0. Right-handed","$40","No","","0","No","8","3","18","0","Yes","Yes","0"
"2025/01/09 5:36:25 pm GMT-8","BABI","Female","35","167","77","0","5000","3. Non-profit or Government Agency","No","5000","2. Public Transport","100","400","0. Right-handed","200","No","9","0","No","6","14","28","0","Yes","Yes","0"
"2025/01/09 5:36:31 pm GMT-8","BABI","Female","28","165","47","","2000","1. Large Corporation","No","","2. Public Transport","0","80","0. Right-handed","34","No","9.5","0","Yes","6.5","14","14","0","Yes","No","0"
"2025/01/09 5:36:37 pm GMT-8","BABI","Female","26","152.4","110","0","4000","1. Large Corporation","Yes","100","2. Public Transport","0","50","","","No","15.24","0","No","6","6","5","12","Yes","No","0"
"2025/01/09 5:36:48 pm GMT-8","BABI","Male","35","1.77","68","6000","5000","3. Non-profit or Government Agency","No","2000","1. Walk","40","60","0. Right-handed","70","No","10","1","Yes","8","10","10","0","Yes","Yes","1"
"2025/01/09 5:36:58 pm GMT-8","BABI","Female","26","25.4","70.3","4800","5800","2. Small Company","Yes","1800","3. Drive","200","400","0. Right-handed","70","No","6","0","No","8","12","8","37.5","Yes","No","2"
"2025/01/09 5:36:58 pm GMT-8","BABI","","25","178","78","0","3500","1. Large Corporation","No","1000","2. Public Transport","35","50","0. Right-handed","40","No","","0","No","7","12","25","15","Yes","No","1"
"2025/01/09 5:37:02 pm GMT-8","BABI","Male","23","179","71","0","4200","2. Small Company","Yes","0","2. Public Transport","20","0","1. Left-handed","0","No","11","0","No","6.5","35","16","0","Yes","No","0"
"2025/01/09 5:37:16 pm GMT-8","BABI","Female","28","165","61","Not sure","No idea","3. Non-profit or Government Agency","Yes","200","2. Public Transport","60","0","0. Right-handed","30","No","No idea","0","No","6","0","2","30","Yes","Yes","0"
"2025/01/09 5:37:27 pm GMT-8","BABI","Male","36","178","82","5700","6500","3. Non-profit or Government Agency","No","2000","2. Public Transport","200","200","0. Right-handed","80","No","10","2","No","8","4","15","20","Yes","Yes","2"
"2025/01/09 5:37:43 pm GMT-8","BABI","Male","32","173","93","4400","7400","3. Non-profit or Government Agency","No","3200","3. Drive","80","400","0. Right-handed","90","Yes","10","4","No","6","12","4","40","Yes","Yes","2"
"2025/01/09 5:38:01 pm GMT-8","BABI","Male","29","171","73","3600","5000","1. Large Corporation","Yes","500","2. Public Transport","200","100","0. Right-handed","40","No","9","0","Yes","6","5","8","37.5","Yes","Yes","0.5"
"2025/01/09 5:38:40 pm GMT-8","BABI","Female","21","178","70","3000","5000","1. Large Corporation","No","2500","3. Drive","100","100","2. Ambidextrous","100","No","12","8","No","7","10","8","0","Yes","Yes","3"
"2025/01/09 5:38:52 pm GMT-8","GCBA","Male","33","179","85","0","6500","3. Non-profit or Government Agency","Yes","1200","2. Public Transport","40","200","0. Right-handed","35","No","9","0","No","6","25","8","0","Yes","Yes","0"
"2025/01/09 5:38:57 pm GMT-8","BABI","Male","24","172","53","5500","$5500","1. Large Corporation","No","$3000","2. Public Transport","$40","$250","0. Right-handed","78$","No","10.3","1","No","7","30","15","40","Yes","Yes","1"
"2025/01/09 5:38:59 pm GMT-8","BABI","Male","24","187","81","2500","5000","1. Large Corporation","No","1500","2. Public Transport","50","200","0. Right-handed","40","No","11","0","No","10","10","15","30","Yes","Yes","1"
"2025/01/09 5:39:12 pm GMT-8","BABI","Male","30","175","65","5000","6000","1. Large Corporation","No","2000","2. Public Transport","45","100","0. Right-handed","30","No","10","0","No","8","10","15","40","Yes","Yes","2"
"2025/01/09 5:40:13 pm GMT-8","BABI","Male","33","167cm","64kg","3000","4500","2. Small Company","No","1500","2. Public Transport","$60","$50","0. Right-handed","115","No","9.5","4","No","7","25","20","38","Yes","Yes","1"
"2025/01/09 5:40:31 pm GMT-8","BABI","Male","23","182","79","0","2000","3. Non-profit or Government Agency","No","1000","3. Drive","150","100","0. Right-handed","45","No","11","0","No","7","10","14","0","Yes","No","1"
"2025/01/09 5:41:38 pm GMT-8","BABI","Female","47","165","54","0","6700","4. Other","No","3000","2. Public Transport","200","500","1. Left-handed","63","No","9.5","6","No","8","1","16","20","Yes","Yes","3"
"2025/01/09 5:44:20 pm GMT-8","BABI","Male","57","164","65","20000","6000","2. Small Company","No","6000","5. Other","40","50","0. Right-handed","65","No","8","1","No","8","1","30","0","Yes","Yes","0"
"2025/01/09 7:37:17 pm GMT-8","BABI","Male","57","164","65","20000","6000","2. Small Company","No","6000","5. Other","40","20","0. Right-handed","65","No","8","1","No","8","1","30","0","Yes","Yes","0"
"2025/01/10 9:04:37 pm GMT-8","ITMG","Male","59","170","80","3500","6500","1. Large Corporation","No","4300","2. Public Transport","50","150","0. Right-handed","80","No","10","0","No","6","0","20","0","Yes","Yes","2"
"2025/01/12 6:33:45 pm GMT-8","ITMG (Retaking courses for graduation)","Male","22","167","","0","5000-6000","2. Small Company","Yes","","2. Public Transport","","","1. Left-handed","","No","","0","No","7","","","","Yes","No","0"
"2025/01/14 8:44:06 am GMT-8","BABI","Prefer not to say","","175","80","","5300","1. Large Corporation","No","3000","2. Public Transport","600","10","0. Right-handed","35","No","9.4","0","No","10","10","84","44","Yes","Yes","0"
"2025/01/16 2:34:47 pm GMT-8","MTKG","Female","26","5'0","54.54","3100","3300","3. Non-profit or Government Agency","No","1200","3. Drive","300","10","0. Right-handed","30","No","9","4","No","6.5","10","10","6","Yes","Yes","2"
"2025/01/16 2:38:44 pm GMT-8","MKTG","Male","25","177cm","68kg","~$2000","$5000-$6000","1. Large Corporation","Yes","$1200","3. Drive","$300","$500","0. Right-handed","$50","Yes","10.2","5-7","No","6","6","8","24-28","Yes","Yes","x1 Energy Drink each day"
"2025/01/16 2:44:32 pm GMT-8","MKTG","Female","21","165","50","12,500","3000","2. Small Company","No","2200","2. Public Transport","0","300","0. Right-handed","80","No","9","2","No","7","20","30","0","Yes","No","0"
"2025/01/16 2:45:57 pm GMT-8","Mktg","Female","20","158 Cm","32kg","$ 2400","$ 3000","1. Large Corporation","Yes","None","3. Drive","$ 240","$ 300","0. Right-handed","$ 0","No","I don't know","One","Yes","7","14 hours","7","No longer working","Yes","No","One"
"2025/01/16 2:46:48 pm GMT-8","BBA","Male","22","176.784","74","0","3000","1. Large Corporation","No","500","2. Public Transport","0","100","1. Left-handed","86","No","6","1","No","7","11","5","24","Yes","No","4"
"2025/01/16 2:49:50 pm GMT-8","marketing management","Female","22","165.1 cm","48.5 kg","0","$80,000","1. Large Corporation","No","$2,950","3. Drive","$100","$100","0. Right-handed","0","Yes","no",".1","No","7","20-60","5-10","0","Yes","No","1.5"
"2025/01/16 2:49:53 pm GMT-8","MKTG","Female","20","168 cm","74.84 kg","0","$5,000","1. Large Corporation","Yes","$800","3. Drive","$160","$40","0. Right-handed","$90","No","9.69 inches long","0","Yes","11 hours","14 hours","17 hours","7 hours","Yes","No","0"
"2025/01/16 2:53:53 pm GMT-8","Mktg","Male","18","6ft","70","0","4000","2. Small Company","Yes","0","3. Drive","190","0","0. Right-handed","0","No","12","0","No","8","10","15","8-13","No","No","0"
"2025/01/16 2:54:04 pm GMT-8","MKTG","Female","19","164cm","","$1500 - $2000","$4000","1. Large Corporation","Yes","$500?","2. Public Transport","Monthly pass, included in tuition ","0-100$","0. Right-handed","$36","No","I have no idea ","none ","No","4-6 hours ","21 hours per week ","A LOT ","0","Yes","Yes","0-1 cups"
"2025/01/16 2:57:44 pm GMT-8","MKTG2J","Male","20","165","77","0","70,000","1. Large Corporation","Yes","0","3. Drive","0","200","2. Ambidextrous","40","Yes","Idk","0","No","7","12","8","0","Yes","Yes","1"
"2025/01/16 3:04:55 pm GMT-8","Exchange","Male","23","183","71","7000","6500","2. Small Company","Yes","900","1. Walk","0","50","","55","No","20","","No","6","21","20","0","Yes","No","0"
"2025/01/16 3:44:40 pm GMT-8","MKTG","Female","19","168","63","","4800","1. Large Corporation","Yes","100","2. Public Transport","0","400","0. Right-handed","0","No","9.6","1","No","7","6","8","0","No","No","1"
"2025/01/16 3:52:11 pm GMT-8","MKTG","Female","21","159","45","0","","2. Small Company","No","","2. Public Transport","","","0. Right-handed","","No","","0","No","7","","","0","Yes","No","0"
